#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,3,1,0,1779
0.002404,4,1,0,2315
0.130764,5,1,0,2780
0.373825,6,1,0,3154
0.454470,7,1,0,3528
0.737228,8,1,0,3746
0.937356,9,1,0,3947
1.242140,10,1,0,4137
1.890861,0,0,0,0
70.890365,0,0,0,0
2.079525,0,0,0,0
1.848373,0,0,0,0
2.035918,0,0,0,0
2.458229,0,0,0,0
2.624953,0,0,0,0
2.930128,0,0,0,0
3.293132,0,0,0,0
3.641141,0,0,0,0
3.946464,0,0,0,0
4.312561,0,0,0,0
4.745008,0,0,0,0
6.552794,0,0,0,0
5.203537,0,0,0,0
5.040714,0,0,0,0
1.637236,0,0,0,0
1.076994,0,0,0,0
1.947544,0,0,0,0
1.013241,0,0,0,0
0.756294,0,0,0,0
0.857963,0,0,0,0
1.601853,0,0,0,0
2.014872,0,0,0,0
2.015036,0,0,0,0
2.251192,0,0,0,0
2.900837,0,0,0,0
2.577485,0,0,0,0
2.785322,0,0,0,0
2.639970,0,0,0,0
2.639397,0,0,0,0
2.773920,0,0,0,0
2.216483,0,0,0,0
0.868666,0,0,0,0
0.546280,3,1,0,776
0.193603,4,1,0,936
0.000000,5,1,0,1448
0.001266,6,1,0,1699
0.170894,7,1,0,2061
0.284235,8,1,0,2404
0.499910,9,1,0,2909
0.538826,10,1,0,3184
0.760638,3,1,0,1106
0.693877,4,1,0,1556
1.141213,5,1,0,1699
57.773980,6,1,0,1975
0.000000,7,1,0,2394
0.001037,8,1,0,2747
0.000000,9,1,0,3179
0.001592,10,1,0,3645
0.000000,0,0,0,0
0.001510,0,0,0,0
0.217468,0,0,0,0
0.374461,0,0,0,0
0.475579,0,0,0,0
0.666789,0,0,0,0
0.777261,0,0,0,0
1.039155,0,0,0,0
1.307461,0,0,0,0
62.921981,0,0,0,0
1.531975,0,0,0,0
3.451186,0,0,0,0
1.937177,0,0,0,0
2.151275,0,0,0,0
2.318821,0,0,0,0
2.802691,0,0,0,0
3.217332,0,0,0,0
3.402691,0,0,0,0
3.718051,3,1,0,1190
4.018453,3,1,0,833
4.465348,3,1,0,1039
5.730523,3,1,0,1426
4.511573,3,1,0,718
4.665748,4,1,0,1045
4.965665,5,1,0,1438
4.566267,6,1,0,1860
2.723917,7,1,0,2301
0.516339,8,1,0,2518
0.000000,9,1,0,2636
0.001214,10,1,0,2842
0.000000,0,0,0,0
0.000960,0,0,0,0
0.000000,0,0,0,0
0.001291,0,0,0,0
0.000000,0,0,0,0
0.001563,0,0,0,0
0.000000,0,0,0,0
0.001219,0,0,0,0
0.000000,0,0,0,0
0.001363,0,0,0,0
0.000000,0,0,0,0
0.001222,0,0,0,0
0.195645,0,0,0,0
0.000000,0,0,0,0
0.001998,0,0,0,0
0.459747,0,0,0,0
0.000000,0,0,0,0
0.001290,0,0,0,0
0.308517,0,0,0,0
0.000000,0,0,0,0
0.001855,0,0,0,0
0.341672,0,0,0,0
0.000000,0,0,0,0
0.000926,0,0,0,0
0.228900,0,0,0,0
0.353627,3,1,0,1107
0.589239,3,1,0,999
0.616499,3,1,0,1517
0.820987,3,1,0,1324
1.255968,4,1,0,1156
1.182332,5,1,0,1363
54.299987,6,1,0,1438
1.913508,7,1,0,1627
2.124548,8,1,0,1738
1.648154,9,1,0,1825
1.773256,10,1,0,2034
2.029067,3,1,0,1050
2.400463,3,1,0,1634
2.445574,4,1,0,2136
2.598580,5,1,0,2512
2.966294,6,1,0,2702
3.112367,7,1,0,2837
3.847577,8,1,0,3122
4.444934,9,1,0,3365
4.063517,10,1,0,3548
3.748785,0,0,0,0
4.165846,0,0,0,0
3.802242,0,0,0,0
2.737529,0,0,0,0
1.446279,3,1,0,893
1.026927,4,1,0,1325
0.998253,5,1,0,1932
1.022853,6,1,0,2365
1.140827,7,1,0,2572
1.140001,8,1,0,2797
1.347442,9,1,0,3056
0.749197,10,1,0,3242
0.000000,0,0,0,0
0.001137,0,0,0,0
0.335777,0,0,0,0
0.000000,0,0,0,0
0.002274,0,0,0,0
0.386355,0,0,0,0
0.000000,0,0,0,0
0.002309,0,0,0,0
0.474840,0,0,0,0
0.000000,0,0,0,0
0.001501,0,0,0,0
0.435128,0,0,0,0
0.416238,0,0,0,0
0.579868,0,0,0,0
0.768778,0,0,0,0
0.744775,0,0,0,0
1.141566,0,0,0,0
0.488598,0,0,0,0
