#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.145655,0.025794,7.453331,0.000000,0.000000,7.627421
0.310897,0.094763,5.558177,0.002404,0.002404,5.968747
5.467846,0.251888,6.377605,0.130764,0.130764,22.644725
5.360486,0.123086,5.569077,0.373825,0.373825,23.409332
5.556687,0.114889,6.848688,0.454470,0.454470,27.976024
5.756504,0.094056,7.527337,0.737228,0.737228,36.508183
5.818901,0.066878,8.336371,0.937356,0.937356,35.190256
5.997349,0.073624,9.331589,1.242140,1.242140,38.311486
5.695783,0.054050,13.106354,1.890861,1.890861,47.068682
5.284600,0.054567,10.742427,70.890365,70.890365,116.437688
6.162537,0.067638,13.908365,2.079525,2.079525,54.121677
6.456600,0.040594,13.556504,1.848373,1.848373,54.347605
6.362789,0.046854,15.774014,2.035918,2.035918,57.336572
5.843541,0.059322,14.888706,2.458229,2.458229,59.668199
6.170105,0.083929,21.295873,2.624953,2.624953,71.545270
6.473961,0.071589,17.605798,2.930128,2.930128,75.959404
7.647172,0.070491,19.305030,3.293132,3.293132,78.807995
8.098727,0.070604,19.729477,3.641141,3.641141,85.898417
7.348101,0.093657,21.092830,3.946464,3.946464,84.315335
6.309853,0.097255,18.806802,4.312561,4.312561,85.739648
6.184705,0.090825,18.931302,4.745008,4.745008,328.569761
5.032759,0.124506,22.571023,6.552794,6.552794,116.859596
5.198757,0.112299,17.362400,5.203537,5.203537,97.490860
5.162650,0.109217,20.040485,5.040714,5.040714,102.322671
3.648316,0.126983,20.154646,1.637236,1.637236,93.142882
4.290626,0.074415,23.355355,1.076994,1.076994,98.588885
4.398612,0.102109,19.882997,1.947544,1.947544,99.367329
7.040180,0.129949,19.690669,1.013241,1.013241,105.659545
5.019316,0.107740,19.178687,0.756294,0.756294,94.199904
5.297697,0.105583,19.500343,0.857963,0.857963,95.774595
5.475868,0.103073,18.635899,1.601853,1.601853,98.855607
5.332151,0.119494,21.236419,2.014872,2.014872,100.802238
7.996722,0.166251,16.963467,2.015036,2.015036,98.786663
3.777044,0.152202,21.266172,2.251192,2.251192,105.490577
4.525894,0.154545,18.809481,2.900837,2.900837,103.880640
4.901175,0.116569,22.226276,2.577485,2.577485,111.212404
6.056457,0.119245,20.036540,2.785322,2.785322,111.659002
7.016287,0.130605,20.143974,2.639970,2.639970,111.368105
5.962688,0.182777,21.500878,2.639397,2.639397,106.250370
5.857431,0.105255,19.510733,2.773920,2.773920,103.741331
4.558483,0.091455,20.516532,2.216483,2.216483,95.387824
3.882796,0.123401,21.024138,0.868666,0.868666,59.982636
4.193348,0.069823,20.058456,0.546280,0.546280,88.657636
4.585089,0.107421,18.098718,0.193603,0.193603,50.115392
0.340129,0.011610,5.365706,0.000000,0.000000,5.717694
0.106102,0.038830,6.191570,0.001266,0.001266,6.338642
5.671363,0.093824,4.706182,0.170894,0.170894,14.705550
4.443983,0.105250,5.381608,0.284235,0.284235,15.253833
4.562155,0.094028,7.403918,0.499910,0.499910,20.219248
5.194575,0.104575,8.034291,0.538826,0.538826,24.242377
4.552861,0.072295,8.186947,0.760638,0.760638,25.934911
4.171325,0.097565,7.622187,0.693877,0.693877,33.827683
5.253566,0.061724,9.576012,1.141213,1.141213,37.761344
5.711580,0.094962,14.262936,57.773980,57.773980,103.328034
0.150395,0.007822,1.497885,0.000000,0.000000,1.656480
0.065560,0.026192,1.408938,0.001037,0.001037,1.502274
0.101924,0.006911,5.780307,0.000000,0.000000,5.889434
0.114380,0.048901,4.225395,0.001592,0.001592,4.391196
0.106103,0.005030,2.710312,0.000000,0.000000,2.821783
0.139915,0.059165,2.373241,0.001510,0.001510,2.574547
4.903821,0.159530,4.298403,0.217468,0.217468,15.286573
4.344568,0.135469,5.575779,0.374461,0.374461,18.441328
4.604667,0.167369,5.479945,0.475579,0.475579,19.028366
5.236227,0.093033,6.390236,0.666789,0.666789,21.420777
4.714332,0.091490,6.765582,0.777261,0.777261,27.320476
4.808550,0.089648,7.624286,1.039155,1.039155,29.769491
5.949000,0.098754,8.215815,1.307461,1.307461,35.749211
7.325444,0.100512,10.252016,62.921981,62.921981,102.319028
4.132405,0.111700,11.341789,1.531975,1.531975,46.674158
5.037991,0.150903,10.036596,3.451186,3.451186,50.340843
6.191772,0.111223,12.693974,1.937177,1.937177,50.141891
6.087489,0.074053,13.166425,2.151275,2.151275,55.267639
6.520244,0.102578,14.842907,2.318821,2.318821,61.021781
5.829490,0.117363,14.787535,2.802691,2.802691,65.445757
6.939310,0.114968,16.559574,3.217332,3.217332,72.800632
6.270196,0.079004,16.353708,3.402691,3.402691,73.209429
6.662380,0.109972,17.373051,3.718051,3.718051,80.997646
5.619020,0.068695,17.130602,4.018453,4.018453,83.206169
6.355952,0.101785,15.959806,4.465348,4.465348,290.767240
10.341654,0.123940,21.914811,5.730523,5.730523,107.434171
7.637153,0.091720,19.804599,4.511573,4.511573,93.122337
6.951601,0.101759,19.520172,4.665748,4.665748,92.867720
6.706528,0.104944,21.397741,4.965665,4.965665,101.005209
5.554170,0.083322,18.779893,4.566267,4.566267,97.033263
4.497907,0.111950,21.471416,2.723917,2.723917,99.254439
4.144519,0.093642,17.326164,0.516339,0.516339,59.109194
0.247945,0.015179,3.554430,0.000000,0.000000,3.817888
0.108051,0.042709,3.799752,0.001214,0.001214,3.953038
0.146794,0.006761,8.305607,0.000000,0.000000,8.459608
0.141820,0.056787,8.267372,0.000960,0.000960,8.467927
0.143814,0.007890,10.341876,0.000000,0.000000,10.493989
0.131511,0.046242,9.609754,0.001291,0.001291,9.789738
0.199817,0.021884,8.095379,0.000000,0.000000,8.317558
0.225088,0.096423,7.759172,0.001563,0.001563,8.083033
0.166832,0.006997,3.976307,0.000000,0.000000,4.150516
0.124529,0.052766,2.742593,0.001219,0.001219,2.921895
0.365491,0.003996,2.512411,0.000000,0.000000,2.882209
0.069537,0.029341,1.880315,0.001363,0.001363,1.981131
0.145749,0.010596,3.854802,0.000000,0.000000,4.011493
0.102023,0.039288,3.765634,0.001222,0.001222,3.909049
5.196279,0.101800,4.545590,0.195645,0.195645,16.461597
0.211985,0.008827,4.469248,0.000000,0.000000,4.690624
0.180566,0.080694,3.483108,0.001998,0.001998,3.747435
6.475195,0.196302,5.376180,0.459747,0.459747,21.117487
0.142376,0.017169,3.164435,0.000000,0.000000,3.324401
0.099961,0.043323,2.325849,0.001290,0.001290,2.471050
5.230788,0.120636,4.613447,0.308517,0.308517,16.974457
0.197389,0.014850,3.981047,0.000000,0.000000,4.193666
0.260898,0.114734,2.782346,0.001855,0.001855,3.160547
4.637833,0.242570,7.352475,0.341672,0.341672,21.028719
0.176987,0.004422,1.668004,0.000000,0.000000,1.849747
0.085109,0.036502,1.057466,0.000926,0.000926,1.180571
3.907878,0.131623,2.332834,0.228900,0.228900,10.439792
4.487177,0.092092,3.797440,0.353627,0.353627,14.163696
4.880906,0.074326,4.236560,0.589239,0.589239,17.893308
4.597508,0.094112,6.769519,0.616499,0.616499,22.674604
5.152803,0.103055,7.705710,0.820987,0.820987,28.107249
4.432526,0.113864,5.722028,1.255968,1.255968,28.078439
3.611150,0.095351,5.387886,1.182332,1.182332,27.896519
3.861144,0.073341,6.320215,54.299987,54.299987,83.849924
4.127267,0.065279,6.678286,1.913508,1.913508,32.727297
4.359659,0.056848,7.827969,2.124548,2.124548,35.887697
4.182226,0.056056,8.605552,1.648154,1.648154,42.724727
4.135982,0.076344,8.780525,1.773256,1.773256,42.511293
