#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,27.941009,0.000000,0.001709,4.081075,0.604323,0.000954,35.853419
0.000000,0.000000,22.389179,0.000000,0.076794,5.931996,3.421705,0.001093,60.419364
0.000000,0.000000,22.070504,0.000000,0.037450,1.124710,4.656989,0.000636,61.183977
0.000000,0.000000,24.014869,0.000000,0.035807,0.945816,4.243557,0.000500,56.154574
0.000000,0.000000,21.086579,0.000000,0.037632,0.798031,4.380955,0.000519,52.991715
0.000000,0.000000,21.497135,0.000000,0.037090,0.759969,4.285397,0.070041,56.617347
0.000000,0.000000,23.588422,0.000000,0.034886,0.649444,8.149516,0.000861,56.066888
0.000000,0.000000,24.584910,0.000000,0.037957,1.210559,2.385606,0.000285,58.869282
0.000000,0.000000,26.654671,0.000000,0.036008,1.117231,2.317843,0.000266,61.417989
0.000000,0.000000,24.266914,0.000000,0.044209,0.975082,2.495020,0.000764,60.142818
0.000000,0.000000,33.411197,0.000000,0.037348,0.563505,2.718905,0.061167,69.040397
0.000000,0.000000,22.735691,0.000000,0.036957,3.663137,0.444273,0.000298,55.457479
0.000000,0.000000,21.925789,0.000000,0.037006,4.157150,3.696080,0.000390,54.119443
0.000000,0.000000,23.194449,0.000000,0.038201,0.790258,3.825003,0.000319,55.750790
0.000000,0.000000,27.641021,0.000000,0.036919,0.591949,3.638232,0.000402,60.336187
0.000000,0.000000,21.407367,0.000000,0.036575,0.543139,3.312083,0.000316,53.658936
0.000000,0.000000,24.820100,0.000000,0.037913,0.363090,2.956858,0.053439,57.077820
0.000000,0.000000,23.726042,0.000000,0.039110,3.824634,0.945241,0.000418,59.509395
0.000000,0.000000,25.233852,0.000000,0.038788,0.281812,1.244508,0.000220,59.080905
0.000000,0.000000,22.691356,0.000000,0.039939,4.229370,1.572783,0.000388,57.301626
0.000000,0.000000,22.431405,0.000000,0.053466,0.347700,5.260838,0.000461,57.801250
0.000000,0.000000,22.715963,0.000000,0.036165,0.347185,5.614788,0.000716,57.309720
0.000000,0.000000,22.513783,0.000000,0.064806,4.193474,3.945580,0.000418,23.872739
0.000000,0.000000,21.160697,0.000000,0.039494,0.826725,4.801909,0.000562,22.918554
0.000000,0.000000,20.994892,0.000000,0.039577,0.836887,4.400172,0.000274,53.387268
0.000000,0.000000,23.208865,0.000000,0.039504,0.835306,4.596653,0.000467,56.719336
0.000000,0.000000,23.398481,0.000000,0.034899,0.863947,3.108638,0.067789,57.819206
0.000000,0.000000,21.452858,0.000000,0.038556,0.944488,3.050283,0.000408,53.987402
0.000000,0.000000,21.435920,0.000000,0.041161,0.690807,1.488476,0.000239,53.854025
0.000000,0.000000,22.628956,0.000000,0.038434,0.357223,1.476856,0.000267,55.599030
0.000000,0.000000,20.997164,0.000000,0.044000,4.530001,1.406914,0.000333,53.400355
0.000000,0.000000,21.301692,0.000000,0.037887,0.468722,5.910313,0.000647,53.276885
0.000000,0.000000,21.694584,0.000000,0.037669,0.547949,4.841520,0.000291,55.028226
0.000000,0.000000,29.996619,0.000000,0.039169,0.378909,4.624221,0.000522,64.347511
0.000000,0.000000,26.715558,0.000000,0.039607,4.309540,1.560679,0.000403,59.148454
0.000000,0.000000,20.877736,0.000000,0.040733,0.473406,5.158649,0.000476,53.949395
0.000000,0.000000,20.786401,0.000000,0.037562,0.488558,4.301243,0.001121,54.818488
0.000000,0.000000,26.821052,0.000000,0.037617,0.392957,5.335979,0.000353,60.642312
0.000000,0.000000,30.059574,0.000000,0.037387,3.897453,2.011846,0.000330,63.394913
0.000000,0.000000,21.279951,0.000000,0.039478,0.421207,2.693426,0.000290,55.123117
0.000000,0.000000,22.580864,0.000000,0.038003,0.488279,3.715599,0.000400,55.709598
0.000000,0.000000,22.422063,0.000000,0.040929,0.494606,2.568749,0.000174,56.527531
0.000000,0.000000,23.440320,0.000000,0.040563,0.409260,2.752036,0.000173,55.620076
0.000000,0.000000,22.498700,0.000000,0.039983,0.528595,3.005930,0.069512,55.083097
0.000000,0.000000,24.981746,0.000000,0.037697,0.524171,1.076508,0.000201,60.524408
0.000000,0.000000,23.558688,0.000000,0.038723,0.594450,1.783343,0.000310,25.249625
0.000000,0.000000,22.108028,0.000000,0.041481,0.603376,1.514130,0.000295,24.057611
0.000000,0.000000,23.677077,0.000000,0.040537,0.376948,1.303915,0.000242,59.556442
0.000000,0.000000,26.474459,0.000000,0.040239,0.316145,1.155425,0.000190,59.609646
0.000000,0.000000,21.359083,0.000000,0.036906,3.860908,0.824532,0.000447,55.830182
0.000000,0.000000,20.708608,0.000000,0.041248,0.370836,2.637462,0.000242,55.271220
0.000000,0.000000,27.486395,0.000000,0.040360,0.858000,2.544796,0.000275,61.196432
0.000000,0.000000,20.788079,0.000000,0.038229,0.801982,2.476083,0.000268,52.812179
0.000000,0.000000,21.974178,0.000000,0.040590,0.956913,2.506722,0.061878,54.352519
0.000000,0.000000,29.672927,0.000000,0.038111,0.941632,1.131040,0.000697,98.616112
0.000000,0.000000,9.389461,0.000000,0.031434,0.789805,1.051298,0.000187,15.045408
0.000000,0.000000,25.196275,0.000000,0.032671,0.698097,1.097848,0.000367,78.376394
0.000000,0.000000,21.751927,0.000000,0.035772,0.573823,1.218499,0.000276,94.189955
0.000000,0.000000,17.309688,0.000000,0.040334,0.451232,1.381192,0.000479,29.552500
